"@timestamp",message,"@timestamp","_id","_index","_score","_type","agent.ephemeral_id","agent.hostname","agent.id","agent.type","agent.version","ecs.version","event.severity","host.architecture","host.containerized","host.hostname","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.platform","host.os.version",hostname,"input.type","log.source.address","process.program","suricata.eve.timestamp","syslog.facility","syslog.facility_label","syslog.priority","syslog.severity_label"
"Nov 27, 2019 @ 20:24:09.000","This is syslog message 560","Nov 27, 2019 @ 20:24:09.000",mI2Jrm4BwUbOUpXKFyz8,"syslog-2019.11-00",,"_doc","e828c219-d361-447a-8895-68aba6cea37b","filebeat_syslog","a71bec20-f71d-4cac-9ef5-4824fc40f312",filebeat,"7.4.0","1.1.0",5,"x86_64",true,"filebeat_syslog","filebeat_syslog",Core,redhat,"4.9.184-linuxkit","CentOS Linux",centos,"7 (Core)","syslog_sender",syslog,"172.22.0.10:36914",root,,1,"user-level",13,Notice
"Nov 27, 2019 @ 20:24:04.000","This is syslog message 559","Nov 27, 2019 @ 20:24:04.000",I42Jrm4BwUbOUpXKBCxt,"syslog-2019.11-00",,"_doc","e828c219-d361-447a-8895-68aba6cea37b","filebeat_syslog","a71bec20-f71d-4cac-9ef5-4824fc40f312",filebeat,"7.4.0","1.1.0",5,"x86_64",true,"filebeat_syslog","filebeat_syslog",Core,redhat,"4.9.184-linuxkit","CentOS Linux",centos,"7 (Core)","syslog_sender",syslog,"172.22.0.10:36914",root,,1,"user-level",13,Notice
"Nov 27, 2019 @ 20:23:59.000","This is syslog message 558","Nov 27, 2019 @ 20:23:59.000",1Y2Irm4BwUbOUpXK8Cvh,"syslog-2019.11-00",,"_doc","e828c219-d361-447a-8895-68aba6cea37b","filebeat_syslog","a71bec20-f71d-4cac-9ef5-4824fc40f312",filebeat,"7.4.0","1.1.0",5,"x86_64",true,"filebeat_syslog","filebeat_syslog",Core,redhat,"4.9.184-linuxkit","CentOS Linux",centos,"7 (Core)","syslog_sender",syslog,"172.22.0.10:36914",root,,1,"user-level",13,Notice
"Nov 27, 2019 @ 20:23:54.000","This is syslog message 557","Nov 27, 2019 @ 20:23:54.000",i42Irm4BwUbOUpXK3StV,"syslog-2019.11-00",,"_doc","e828c219-d361-447a-8895-68aba6cea37b","filebeat_syslog","a71bec20-f71d-4cac-9ef5-4824fc40f312",filebeat,"7.4.0","1.1.0",5,"x86_64",true,"filebeat_syslog","filebeat_syslog",Core,redhat,"4.9.184-linuxkit","CentOS Linux",centos,"7 (Core)","syslog_sender",syslog,"172.22.0.10:36914",root,,1,"user-level",13,Notice
"Nov 27, 2019 @ 20:23:49.000","This is syslog message 556","Nov 27, 2019 @ 20:23:49.000",Z42Irm4BwUbOUpXKySvH,"syslog-2019.11-00",,"_doc","e828c219-d361-447a-8895-68aba6cea37b","filebeat_syslog","a71bec20-f71d-4cac-9ef5-4824fc40f312",filebeat,"7.4.0","1.1.0",5,"x86_64",true,"filebeat_syslog","filebeat_syslog",Core,redhat,"4.9.184-linuxkit","CentOS Linux",centos,"7 (Core)","syslog_sender",syslog,"172.22.0.10:36914",root,,1,"user-level",13,Notice
"Nov 27, 2019 @ 20:23:44.000","This is syslog message 555","Nov 27, 2019 @ 20:23:44.000","-Y2Irm4BwUbOUpXKtio8","syslog-2019.11-00",,"_doc","e828c219-d361-447a-8895-68aba6cea37b","filebeat_syslog","a71bec20-f71d-4cac-9ef5-4824fc40f312",filebeat,"7.4.0","1.1.0",5,"x86_64",true,"filebeat_syslog","filebeat_syslog",Core,redhat,"4.9.184-linuxkit","CentOS Linux",centos,"7 (Core)","syslog_sender",syslog,"172.22.0.10:36914",root,,1,"user-level",13,Notice
"Nov 27, 2019 @ 20:23:39.000","This is syslog message 554","Nov 27, 2019 @ 20:23:39.000",rY2Irm4BwUbOUpXKoirS,"syslog-2019.11-00",,"_doc","e828c219-d361-447a-8895-68aba6cea37b","filebeat_syslog","a71bec20-f71d-4cac-9ef5-4824fc40f312",filebeat,"7.4.0","1.1.0",5,"x86_64",true,"filebeat_syslog","filebeat_syslog",Core,redhat,"4.9.184-linuxkit","CentOS Linux",centos,"7 (Core)","syslog_sender",syslog,"172.22.0.10:36914",root,,1,"user-level",13,Notice
"Nov 27, 2019 @ 20:23:34.000","This is syslog message 553","Nov 27, 2019 @ 20:23:34.000",ZY2Irm4BwUbOUpXKjypI,"syslog-2019.11-00",,"_doc","e828c219-d361-447a-8895-68aba6cea37b","filebeat_syslog","a71bec20-f71d-4cac-9ef5-4824fc40f312",filebeat,"7.4.0","1.1.0",5,"x86_64",true,"filebeat_syslog","filebeat_syslog",Core,redhat,"4.9.184-linuxkit","CentOS Linux",centos,"7 (Core)","syslog_sender",syslog,"172.22.0.10:36914",root,,1,"user-level",13,Notice
"Nov 27, 2019 @ 20:23:29.000","This is syslog message 552","Nov 27, 2019 @ 20:23:29.000",Go2Irm4BwUbOUpXKeyq7,"syslog-2019.11-00",,"_doc","e828c219-d361-447a-8895-68aba6cea37b","filebeat_syslog","a71bec20-f71d-4cac-9ef5-4824fc40f312",filebeat,"7.4.0","1.1.0",5,"x86_64",true,"filebeat_syslog","filebeat_syslog",Core,redhat,"4.9.184-linuxkit","CentOS Linux",centos,"7 (Core)","syslog_sender",syslog,"172.22.0.10:36914",root,,1,"user-level",13,Notice
"Nov 27, 2019 @ 20:23:24.000","This is syslog message 551","Nov 27, 2019 @ 20:23:24.000",0Y2Irm4BwUbOUpXKaCky,"syslog-2019.11-00",,"_doc","e828c219-d361-447a-8895-68aba6cea37b","filebeat_syslog","a71bec20-f71d-4cac-9ef5-4824fc40f312",filebeat,"7.4.0","1.1.0",5,"x86_64",true,"filebeat_syslog","filebeat_syslog",Core,redhat,"4.9.184-linuxkit","CentOS Linux",centos,"7 (Core)","syslog_sender",syslog,"172.22.0.10:36914",root,,1,"user-level",13,Notice
